INFO 2025-09-25 12:38:05,046 autoreload 1063787 139964708583232 Watching for file changes with StatReloader
INFO 2025-09-25 15:38:42,028 autoreload 1063787 139964708583232 /home/sergeo/Documents/spotter-application/spotter-backend/eld_logs/views.py changed, reloading.
INFO 2025-09-25 15:39:26,817 autoreload 1091157 139832662116160 Watching for file changes with StatReloader
WARNING 2025-09-25 15:58:52,279 log 1091157 139832505923328 Not Found: /
WARNING 2025-09-25 15:58:52,280 basehttp 1091157 139832505923328 "GET / HTTP/1.1" 404 2878
WARNING 2025-09-25 15:58:52,858 log 1091157 139832505923328 Not Found: /favicon.ico
WARNING 2025-09-25 15:58:52,858 basehttp 1091157 139832505923328 "GET /favicon.ico HTTP/1.1" 404 2929
WARNING 2025-09-25 15:59:07,721 log 1091157 139832505923328 Not Found: /accounts
WARNING 2025-09-25 15:59:07,723 basehttp 1091157 139832505923328 "GET /accounts HTTP/1.1" 404 2920
WARNING 2025-09-25 15:59:23,315 log 1091157 139832505923328 Not Found: /accounts/
WARNING 2025-09-25 15:59:23,316 basehttp 1091157 139832505923328 "GET /accounts/ HTTP/1.1" 404 6509
INFO 2025-09-25 15:59:45,537 basehttp 1091157 139832505923328 "GET /api/ HTTP/1.1" 200 690
WARNING 2025-09-25 16:00:14,471 log 1091157 139832505923328 Unauthorized: /api/trips/
WARNING 2025-09-25 16:00:14,472 basehttp 1091157 139832505923328 "GET //api/trips/ HTTP/1.1" 401 58
WARNING 2025-09-25 16:00:34,922 log 1091157 139832505923328 Unauthorized: /api/eld-logs/
WARNING 2025-09-25 16:00:34,923 basehttp 1091157 139832505923328 "GET /api/eld-logs/ HTTP/1.1" 401 58
INFO 2025-09-25 16:00:51,252 basehttp 1091157 139832505923328 "GET /admin/doc/ HTTP/1.1" 302 0
INFO 2025-09-25 16:00:51,721 basehttp 1091157 139832505923328 "GET /admin/login/?next=/admin/doc/ HTTP/1.1" 200 4191
INFO 2025-09-25 16:00:52,205 basehttp 1091157 139832495957760 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-09-25 16:00:52,211 basehttp 1091157 139832479172352 "GET /static/admin/css/login.css HTTP/1.1" 200 958
